decision_step	day_zero_based	hour_zero_based	player	farmer	hands	market
398	16	14	Majkel1337	"[""NORTH""]"	"[[""FEED""], [""FERTILIZE""], [""EAST""], [""NORTH""], [""NORTH""], [""HARVEST""], [""NORTH""], [""HARVEST""], [""SOUTH""], [""SOUTH""], [""FERTILIZE""]]"	"[[""SELL"", ""STRAWBERRY"", 4]]"
398	16	14	DSM	"[""EAST""]"	"[[""FEED""], [""FERTILIZE""], [""FERTILIZE""], [""WEST""], [""NORTH""], [""SOUTH""], [""WATER""], [""WATER""], [""HARVEST""], [""WEST""], [""SOUTH""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
399	16	15	Majkel1337	"[""WATER""]"	"[[""CARE""], [""WATER""], [""FERTILIZE""], [""HARVEST""], [""NORTH""], [""PLANT"", ""CARROT""], [""WATER""], [""EAST""], [""WEST""], [""SOUTH""], [""EAST""]]"	"[[""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""TOMATO"", 1]]"
399	16	15	DSM	"[""WATER""]"	"[[""CARE""], [""WATER""], [""NORTH""], [""WEST""], [""NORTH""], [""WATER""], [""HARVEST""], [""NORTH""], [""WATER""], [""WATER""], [""SOUTH""]]"	[]
400	16	16	Majkel1337	"[""HARVEST""]"	"[[""COLLECT_FERTILIZER""], [""SOUTH""], [""NORTH""], [""NORTH""], [""FEED""], [""WATER""], [""WEST""], [""SOUTH""], [""WATER""], [""SOUTH""], [""WATER""]]"	"[[""BUY_SEED"", ""CARROT"", 6], [""BUY_SEED"", ""TOMATO"", 1]]"
400	16	16	DSM	"[""EAST""]"	"[[""COLLECT_FERTILIZER""], [""SOUTH""], [""FERTILIZE""], [""FERTILIZE""], [""FEED""], [""WEST""], [""PLANT"", ""WHEAT""], [""WATER""], [""NORTH""], [""HARVEST""], [""SOUTH""]]"	[]
401	16	17	Majkel1337	"[""SOUTH""]"	"[[""EAST""], [""WATER""], [""FERTILIZE""], [""HARVEST""], [""CARE""], [""WEST""], [""HARVEST""], [""SOUTH""], [""WEST""], [""WEST""], [""SOUTH""]]"	"[[""SELL"", ""WOOL"", 1]]"
401	16	17	DSM	"[""WATER""]"	"[[""NORTH""], [""WATER""], [""NORTH""], [""NORTH""], [""CARE""], [""WATER""], [""WATER""], [""HARVEST""], [""WATER""], [""PLANT"", ""WHEAT""], [""SOUTH""]]"	"[[""SELL"", ""WOOL"", 1], [""BUY_SEED"", ""WHEAT"", 1]]"
402	16	18	Majkel1337	"[""SOUTH""]"	"[[""NORTH""], [""SOUTH""], [""NORTH""], [""WATER""], [""COLLECT_FERTILIZER""], [""WATER""], [""SOUTH""], [""SOUTH""], [""WATER""], [""WEST""], [""WATER""]]"	[]
402	16	18	DSM	"[""FERTILIZE""]"	"[[""EAST""], [""SOUTH""], [""WEST""], [""EAST""], [""COLLECT_FERTILIZER""], [""HARVEST""], [""WEST""], [""EAST""], [""HARVEST""], [""WATER""], [""WEST""]]"	"[[""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""TOMATO"", 1]]"
403	16	19	Majkel1337	"[""SOUTH""]"	"[[""EAST""], [""WATER""], [""WEST""], [""EAST""], [""HARVEST""], [""SOUTH""], [""HARVEST""], [""EAST""], [""HARVEST""], [""DROP""], [""WEST""]]"	[]
403	16	19	DSM	"[""EAST""]"	"[[""EAST""], [""SOUTH""], [""WATER""], [""EAST""], [""HARVEST""], [""PLANT"", ""TOMATO""], [""HARVEST""], [""WATER""], [""EAST""], [""NORTH""], [""WEST""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
404	16	20	Majkel1337	"[""EAST""]"	"[[""FERTILIZE""], [""SOUTH""], [""WATER""], [""WATER""], [""EAST""], [""WEST""], [""WATER""], [""EAST""], [""PLANT"", ""CARROT""], [""NORTH""], [""WATER""]]"	"[[""SELL"", ""STRAWBERRY"", 6], [""SELL"", ""FERTILIZER"", 1], [""BUY_SEED"", ""WHEAT"", 1]]"
404	16	20	DSM	"[""WATER""]"	"[[""FERTILIZE""], [""WATER""], [""NORTH""], [""WATER""], [""EAST""], [""WATER""], [""SOUTH""], [""EAST""], [""WATER""], [""WATER""], [""DROP""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
405	16	21	Majkel1337	"[""EAST""]"	"[[""WEST""], [""WATER""], [""WEST""], [""EAST""], [""FEED""], [""WATER""], [""NORTH""], [""DROP""], [""WATER""], [""NORTH""], [""WEST""]]"	"[[""SELL"", ""WOOL"", 1]]"
405	16	21	DSM	"[""EAST""]"	"[[""NORTH""], [""HARVEST""], [""HARVEST""], [""EAST""], [""FEED""], [""NORTH""], [""HARVEST""], [""WATER""], [""EAST""], [""HARVEST""], [""NORTH""]]"	"[[""SELL"", ""STRAWBERRY"", 6], [""SELL"", ""MILK"", 2], [""SELL"", ""WOOL"", 1], [""SELL"", ""FERTILIZER"", 1]]"
406	16	22	Majkel1337	"[""DROP""]"	"[[""WEST""], [""EAST""], [""WATER""], [""WATER""], [""CARE""], [""EAST""], [""WATER""], [""NORTH""], [""EAST""], [""EAST""], [""WATER""]]"	"[[""SELL"", ""STRAWBERRY"", 2], [""SELL"", ""WHEAT"", 6]]"
406	16	22	DSM	"[""WATER""]"	"[[""WEST""], [""PLANT"", ""WHEAT""], [""WATER""], [""WATER""], [""CARE""], [""NORTH""], [""WEST""], [""NORTH""], [""WATER""], [""NORTH""], [""NORTH""]]"	"[[""SELL"", ""WHEAT"", 4]]"
407	16	23	Majkel1337	"[""PASS""]"	"[[""FERTILIZE""], [""WATER""], [""SOUTH""], [""EAST""], [""COLLECT_FERTILIZER""], [""WATER""], [""SOUTH""], [""NORTH""], [""EAST""], [""COLLECT_FERTILIZER""], [""WEST""]]"	"[[""SELL"", ""STRAWBERRY"", 2]]"
407	16	23	DSM	"[""SOUTH""]"	"[[""WEST""], [""WATER""], [""WEST""], [""PASS""], [""COLLECT_FERTILIZER""], [""WATER""], [""WATER""], [""WATER""], [""EAST""], [""WATER""], [""EAST""]]"	[]
408	17	0	Majkel1337	"[""PICKUP"", ""WHEAT"", 4]"	[]	"[[""SELL"", ""STRAWBERRY"", 7], [""SELL"", ""MILK"", 6], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""]]"
408	17	0	DSM	"[""PICKUP"", ""WHEAT"", 4]"	[]	"[[""SELL"", ""STRAWBERRY"", 11], [""SELL"", ""FERTILIZER"", 6], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""]]"
409	17	1	Majkel1337	"[""WEST""]"	"[[""PICKUP"", ""WHEAT"", 4], [""PICKUP"", ""WHEAT"", 3], [""PICKUP"", ""WHEAT"", 3], [""PICKUP"", ""WHEAT"", 3], [""PICKUP"", ""WHEAT"", 3], [""WEST""], [""NORTH""], [""NORTH""]]"	"[[""SELL"", ""WOOL"", 2], [""HIRE""], [""HIRE""], [""HIRE""], [""BUY_PRODUCT"", ""WHEAT"", 10]]"
409	17	1	DSM	"[""WEST""]"	"[[""PICKUP"", ""WHEAT"", 4], [""PICKUP"", ""WHEAT"", 4], [""PICKUP"", ""WHEAT"", 4], [""PICKUP"", ""WHEAT"", 4], [""PICKUP"", ""WHEAT"", 4], [""WEST""], [""NORTH""], [""NORTH""]]"	"[[""SELL"", ""MILK"", 6], [""SELL"", ""WOOL"", 1], [""HIRE""], [""HIRE""], [""HIRE""]]"
410	17	2	Majkel1337	"[""FEED""]"	"[[""FEED""], [""FEED""], [""NORTH""], [""FEED""], [""NORTH""], [""HARVEST""], [""EAST""], [""WEST""], [""COLLECT_FERTILIZER""], [""SOUTH""], [""NORTH""]]"	"[[""SELL"", ""MELON"", 2], [""SELL"", ""FERTILIZER"", 5]]"
410	17	2	DSM	"[""FEED""]"	"[[""FEED""], [""FEED""], [""NORTH""], [""FEED""], [""NORTH""], [""HARVEST""], [""EAST""], [""WEST""], [""COLLECT_FERTILIZER""], [""SOUTH""], [""NORTH""]]"	[]
411	17	3	Majkel1337	"[""CARE""]"	"[[""CARE""], [""CARE""], [""EAST""], [""CARE""], [""NORTH""], [""WEST""], [""EAST""], [""WEST""], [""NORTH""], [""WATER""], [""EAST""]]"	[]
411	17	3	DSM	"[""CARE""]"	"[[""CARE""], [""CARE""], [""EAST""], [""CARE""], [""NORTH""], [""EAST""], [""EAST""], [""WEST""], [""NORTH""], [""WATER""], [""EAST""]]"	[]
412	17	4	Majkel1337	"[""WEST""]"	"[[""COLLECT_FERTILIZER""], [""COLLECT_FERTILIZER""], [""FEED""], [""NORTH""], [""FEED""], [""WEST""], [""EAST""], [""WATER""], [""WEST""], [""SOUTH""], [""CARE""]]"	[]
412	17	4	DSM	"[""WEST""]"	"[[""COLLECT_FERTILIZER""], [""COLLECT_FERTILIZER""], [""FEED""], [""NORTH""], [""FEED""], [""PLACE"", ""MILK"", 6], [""EAST""], [""WATER""], [""WEST""], [""SOUTH""], [""CARE""]]"	[]
413	17	5	Majkel1337	"[""FEED""]"	"[[""NORTH""], [""WEST""], [""EAST""], [""FEED""], [""CARE""], [""WATER""], [""EAST""], [""HARVEST""], [""FERTILIZE""], [""SOUTH""], [""COLLECT_FERTILIZER""]]"	"[[""SELL"", ""WOOL"", 1]]"
413	17	5	DSM	"[""FEED""]"	"[[""NORTH""], [""WEST""], [""EAST""], [""FEED""], [""CARE""], [""WEST""], [""EAST""], [""HARVEST""], [""FERTILIZE""], [""WATER""], [""COLLECT_FERTILIZER""]]"	"[[""SELL"", ""WOOL"", 1]]"
414	17	6	Majkel1337	"[""CARE""]"	"[[""FEED""], [""FEED""], [""FEED""], [""CARE""], [""COLLECT_FERTILIZER""], [""HARVEST""], [""HARVEST""], [""PLANT"", ""WHEAT""], [""WATER""], [""WATER""], [""NORTH""]]"	"[[""SELL"", ""WHEAT"", 6], [""BUY_SEED"", ""WHEAT"", 1]]"
414	17	6	DSM	"[""CARE""]"	"[[""FEED""], [""FEED""], [""FEED""], [""CARE""], [""COLLECT_FERTILIZER""], [""WEST""], [""HARVEST""], [""PLANT"", ""WHEAT""], [""WATER""], [""SOUTH""], [""NORTH""]]"	"[[""SELL"", ""WHEAT"", 8], [""BUY_SEED"", ""WHEAT"", 1]]"
415	17	7	Majkel1337	"[""COLLECT_FERTILIZER""]"	"[[""CARE""], [""CARE""], [""CARE""], [""COLLECT_FERTILIZER""], [""EAST""], [""PLANT"", ""WHEAT""], [""NORTH""], [""WATER""], [""NORTH""], [""WEST""], [""EAST""]]"	"[[""SELL"", ""WHEAT"", 3], [""BUY_SEED"", ""WHEAT"", 1]]"
415	17	7	DSM	"[""COLLECT_FERTILIZER""]"	"[[""CARE""], [""CARE""], [""CARE""], [""COLLECT_FERTILIZER""], [""EAST""], [""WATER""], [""NORTH""], [""WATER""], [""NORTH""], [""WATER""], [""EAST""]]"	[]
416	17	8	Majkel1337	"[""WEST""]"	"[[""COLLECT_FERTILIZER""], [""COLLECT_FERTILIZER""], [""COLLECT_FERTILIZER""], [""NORTH""], [""FEED""], [""WATER""], [""HARVEST""], [""WEST""], [""WATER""], [""WATER""], [""EAST""]]"	[]
416	17	8	DSM	"[""WEST""]"	"[[""COLLECT_FERTILIZER""], [""COLLECT_FERTILIZER""], [""COLLECT_FERTILIZER""], [""NORTH""], [""FEED""], [""WEST""], [""HARVEST""], [""WEST""], [""WATER""], [""HARVEST""], [""EAST""]]"	[]
417	17	9	Majkel1337	"[""WEST""]"	"[[""EAST""], [""WEST""], [""EAST""], [""FEED""], [""CARE""], [""WEST""], [""SOUTH""], [""WATER""], [""NORTH""], [""SOUTH""], [""FERTILIZE""]]"	"[[""SELL"", ""STRAWBERRY"", 7], [""SELL"", ""WOOL"", 1]]"
417	17	9	DSM	"[""WEST""]"	"[[""EAST""], [""SOUTH""], [""EAST""], [""FEED""], [""CARE""], [""WATER""], [""SOUTH""], [""WATER""], [""NORTH""], [""PLANT"", ""WHEAT""], [""FERTILIZE""]]"	"[[""SELL"", ""WOOL"", 1], [""BUY_SEED"", ""WHEAT"", 1]]"
418	17	10	Majkel1337	"[""WATER""]"	"[[""FEED""], [""FERTILIZE""], [""FEED""], [""CARE""], [""COLLECT_FERTILIZER""], [""WATER""], [""WEST""], [""HARVEST""], [""WATER""], [""WATER""], [""WATER""]]"	[]
418	17	10	DSM	"[""WATER""]"	"[[""FEED""], [""WEST""], [""FEED""], [""CARE""], [""COLLECT_FERTILIZER""], [""HARVEST""], [""WEST""], [""WEST""], [""WATER""], [""WATER""], [""WATER""]]"	[]
419	17	11	Majkel1337	"[""HARVEST""]"	"[[""CARE""], [""WATER""], [""CARE""], [""COLLECT_FERTILIZER""], [""HARVEST""], [""HARVEST""], [""HARVEST""], [""PLANT"", ""TOMATO""], [""NORTH""], [""HARVEST""], [""NORTH""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
419	17	11	DSM	"[""HARVEST""]"	"[[""CARE""], [""FERTILIZE""], [""CARE""], [""COLLECT_FERTILIZER""], [""HARVEST""], [""PLANT"", ""WHEAT""], [""HARVEST""], [""HARVEST""], [""NORTH""], [""WEST""], [""NORTH""]]"	"[[""SELL"", ""WHEAT"", 4], [""BUY_SEED"", ""WHEAT"", 1]]"
420	17	12	Majkel1337	"[""NORTH""]"	"[[""COLLECT_FERTILIZER""], [""SOUTH""], [""COLLECT_FERTILIZER""], [""NORTH""], [""NORTH""], [""PLANT"", ""WHEAT""], [""WEST""], [""WATER""], [""WATER""], [""PLANT"", ""CARROT""], [""WATER""]]"	"[[""SELL"", ""WHEAT"", 2], [""BUY_SEED"", ""WHEAT"", 1]]"
420	17	12	DSM	"[""NORTH""]"	"[[""COLLECT_FERTILIZER""], [""WATER""], [""COLLECT_FERTILIZER""], [""NORTH""], [""NORTH""], [""WATER""], [""WEST""], [""WATER""], [""WATER""], [""WATER""], [""WATER""]]"	"[[""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""CARROT"", 6], [""BUY_SEED"", ""TOMATO"", 1]]"
421	17	13	Majkel1337	"[""FERTILIZE""]"	"[[""EAST""], [""FERTILIZE""], [""EAST""], [""WATER""], [""WATER""], [""WATER""], [""WEST""], [""SOUTH""], [""WEST""], [""WATER""], [""HARVEST""]]"	"[[""SELL"", ""WOOL"", 2], [""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""TOMATO"", 1]]"
421	17	13	DSM	"[""NORTH""]"	"[[""EAST""], [""SOUTH""], [""NORTH""], [""WATER""], [""WATER""], [""WEST""], [""WEST""], [""NORTH""], [""WEST""], [""SOUTH""], [""HARVEST""]]"	[]
422	17	14	Majkel1337	"[""WATER""]"	"[[""FEED""], [""WATER""], [""WATER""], [""WEST""], [""WEST""], [""SOUTH""], [""WEST""], [""SOUTH""], [""WATER""], [""WEST""], [""PLANT"", ""TOMATO""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
422	17	14	DSM	"[""NORTH""]"	"[[""FEED""], [""FERTILIZE""], [""EAST""], [""WEST""], [""WEST""], [""WATER""], [""WEST""], [""HARVEST""], [""WATER""], [""WATER""], [""PLANT"", ""TOMATO""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
423	17	15	Majkel1337	"[""NORTH""]"	"[[""CARE""], [""WEST""], [""NORTH""], [""WEST""], [""WATER""], [""WATER""], [""DROP""], [""SOUTH""], [""HARVEST""], [""WATER""], [""WATER""]]"	[]
423	17	15	DSM	"[""FERTILIZE""]"	"[[""CARE""], [""WATER""], [""WATER""], [""WEST""], [""WATER""], [""HARVEST""], [""DROP""], [""WATER""], [""HARVEST""], [""WEST""], [""WATER""]]"	[]
424	17	16	Majkel1337	"[""WATER""]"	"[[""COLLECT_FERTILIZER""], [""WATER""], [""WATER""], [""WATER""], [""NORTH""], [""HARVEST""], [""WEST""], [""SOUTH""], [""WEST""], [""HARVEST""], [""NORTH""]]"	"[[""SELL"", ""STRAWBERRY"", 4], [""SELL"", ""WOOL"", 1]]"
424	17	16	DSM	"[""WATER""]"	"[[""COLLECT_FERTILIZER""], [""WEST""], [""NORTH""], [""WATER""], [""NORTH""], [""PLANT"", ""WHEAT""], [""WEST""], [""NORTH""], [""WEST""], [""WATER""], [""NORTH""]]"	"[[""SELL"", ""STRAWBERRY"", 4], [""SELL"", ""WHEAT"", 2], [""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""TOMATO"", 1]]"
425	17	17	Majkel1337	"[""NORTH""]"	"[[""NORTH""], [""SOUTH""], [""NORTH""], [""WEST""], [""FERTILIZE""], [""PLANT"", ""TOMATO""], [""WEST""], [""SOUTH""], [""WATER""], [""PLANT"", ""CARROT""], [""WATER""]]"	"[[""SELL"", ""WOOL"", 2], [""BUY_SEED"", ""WHEAT"", 1]]"
425	17	17	DSM	"[""EAST""]"	"[[""NORTH""], [""WATER""], [""WATER""], [""HARVEST""], [""FERTILIZE""], [""WATER""], [""WEST""], [""EAST""], [""WATER""], [""WEST""], [""WATER""]]"	"[[""SELL"", ""WOOL"", 1], [""BUY_SEED"", ""WHEAT"", 1], [""BUY_SEED"", ""CARROT"", 6], [""BUY_SEED"", ""TOMATO"", 1]]"
426	17	18	Majkel1337	"[""WATER""]"	"[[""WATER""], [""WATER""], [""WATER""], [""WEST""], [""WATER""], [""WATER""], [""COLLECT_FERTILIZER""], [""SOUTH""], [""WEST""], [""WATER""], [""NORTH""]]"	[]
426	17	18	DSM	"[""WATER""]"	"[[""FERTILIZE""], [""SOUTH""], [""HARVEST""], [""WEST""], [""WATER""], [""SOUTH""], [""COLLECT_FERTILIZER""], [""WATER""], [""WEST""], [""WATER""], [""NORTH""]]"	[]
427	17	19	Majkel1337	"[""EAST""]"	"[[""NORTH""], [""SOUTH""], [""HARVEST""], [""FERTILIZE""], [""EAST""], [""SOUTH""], [""NORTH""], [""WATER""], [""WATER""], [""NORTH""], [""WATER""]]"	[]
427	17	19	DSM	"[""SOUTH""]"	"[[""WATER""], [""WATER""], [""NORTH""], [""FERTILIZE""], [""EAST""], [""WATER""], [""NORTH""], [""SOUTH""], [""WATER""], [""HARVEST""], [""WATER""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
428	17	20	Majkel1337	"[""WATER""]"	"[[""WATER""], [""WATER""], [""NORTH""], [""NORTH""], [""WATER""], [""WATER""], [""NORTH""], [""HARVEST""], [""SOUTH""], [""WATER""], [""EAST""]]"	[]
428	17	20	DSM	"[""EAST""]"	"[[""NORTH""], [""EAST""], [""WATER""], [""EAST""], [""WATER""], [""SOUTH""], [""NORTH""], [""EAST""], [""EAST""], [""PLANT"", ""CARROT""], [""WEST""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
429	17	21	Majkel1337	"[""SOUTH""]"	"[[""NORTH""], [""WEST""], [""WATER""], [""FERTILIZE""], [""HARVEST""], [""HARVEST""], [""WEST""], [""PLANT"", ""CARROT""], [""SOUTH""], [""HARVEST""], [""WATER""]]"	"[[""SELL"", ""WOOL"", 1]]"
429	17	21	DSM	"[""WATER""]"	"[[""WATER""], [""WATER""], [""HARVEST""], [""EAST""], [""HARVEST""], [""WATER""], [""WEST""], [""WATER""], [""EAST""], [""WATER""], [""WATER""]]"	"[[""SELL"", ""WOOL"", 2]]"
430	17	22	Majkel1337	"[""WATER""]"	"[[""WATER""], [""WATER""], [""NORTH""], [""EAST""], [""EAST""], [""PLANT"", ""TOMATO""], [""WATER""], [""WATER""], [""EAST""], [""PLANT"", ""CARROT""], [""HARVEST""]]"	"[[""SELL"", ""WHEAT"", 1]]"
430	17	22	DSM	"[""WEST""]"	"[[""NORTH""], [""NORTH""], [""PLANT"", ""WHEAT""], [""NORTH""], [""EAST""], [""SOUTH""], [""WEST""], [""WEST""], [""EAST""], [""WEST""], [""EAST""]]"	[]
431	17	23	Majkel1337	"[""PASS""]"	"[[""WEST""], [""HARVEST""], [""WEST""], [""EAST""], [""WEST""], [""WATER""], [""PASS""], [""WEST""], [""PASS""], [""WATER""], [""WEST""]]"	[]
431	17	23	DSM	"[""WATER""]"	"[[""FERTILIZE""], [""NORTH""], [""WATER""], [""EAST""], [""EAST""], [""WATER""], [""WATER""], [""WATER""], [""EAST""], [""WATER""], [""EAST""]]"	[]
432	18	0	Majkel1337	"[""HARVEST""]"	[]	"[[""SELL"", ""STRAWBERRY"", 7], [""SELL"", ""FERTILIZER"", 8], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""]]"
432	18	0	DSM	"[""HARVEST""]"	[]	"[[""SELL"", ""STRAWBERRY"", 11], [""SELL"", ""FERTILIZER"", 7], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""]]"
433	18	1	Majkel1337	"[""PLACE"", ""MILK"", 2]"	"[[""HARVEST""], [""PICKUP"", ""WHEAT"", 4], [""PICKUP"", ""WHEAT"", 4], [""COLLECT_FERTILIZER""], [""NORTH""], [""WEST""], [""NORTH""], [""NORTH""]]"	"[[""SELL"", ""WOOL"", 4], [""HIRE""], [""HIRE""], [""HIRE""], [""BUY_SEED"", ""TOMATO"", 1]]"
433	18	1	DSM	"[""PLACE"", ""MILK"", 2]"	"[[""HARVEST""], [""HARVEST""], [""PICKUP"", ""WHEAT"", 4], [""COLLECT_FERTILIZER""], [""NORTH""], [""SOUTH""], [""NORTH""], [""NORTH""]]"	"[[""SELL"", ""WOOL"", 1], [""HIRE""], [""HIRE""], [""HIRE""]]"
434	18	2	Majkel1337	"[""WEST""]"	"[[""PLACE"", ""WOOL"", 4], [""FEED""], [""NORTH""], [""WEST""], [""HARVEST""], [""WEST""], [""EAST""], [""WEST""], [""SOUTH""], [""NORTH""], [""NORTH""]]"	"[[""SELL"", ""WHEAT"", 17], [""SELL"", ""STRAWBERRY"", 1], [""SELL"", ""MELON"", 1]]"
434	18	2	DSM	"[""WEST""]"	"[[""PLACE"", ""WOOL"", 4], [""PLACE"", ""WOOL"", 4], [""NORTH""], [""WEST""], [""HARVEST""], [""WATER""], [""EAST""], [""WEST""], [""SOUTH""], [""NORTH""], [""NORTH""]]"	"[[""SELL"", ""STRAWBERRY"", 2]]"
435	18	3	Majkel1337	"[""COLLECT_FERTILIZER""]"	"[[""PICKUP"", ""WHEAT"", 3], [""CARE""], [""EAST""], [""WEST""], [""NORTH""], [""WATER""], [""EAST""], [""WATER""], [""WATER""], [""EAST""], [""COLLECT_FERTILIZER""]]"	[]
435	18	3	DSM	"[""COLLECT_FERTILIZER""]"	"[[""COLLECT_FERTILIZER""], [""PICKUP"", ""WHEAT"", 3], [""EAST""], [""WEST""], [""NORTH""], [""HARVEST""], [""EAST""], [""WATER""], [""SOUTH""], [""EAST""], [""COLLECT_FERTILIZER""]]"	[]
436	18	4	Majkel1337	"[""WEST""]"	"[[""FEED""], [""COLLECT_FERTILIZER""], [""FEED""], [""WEST""], [""NORTH""], [""HARVEST""], [""EAST""], [""HARVEST""], [""SOUTH""], [""NORTH""], [""NORTH""]]"	"[[""SELL"", ""WHEAT"", 9]]"
436	18	4	DSM	"[""WEST""]"	"[[""NORTH""], [""FEED""], [""FEED""], [""WEST""], [""NORTH""], [""PLANT"", ""CARROT""], [""EAST""], [""HARVEST""], [""WATER""], [""COLLECT_FERTILIZER""], [""NORTH""]]"	"[[""SELL"", ""WHEAT"", 10], [""SELL"", ""STRAWBERRY"", 1]]"
437	18	5	Majkel1337	"[""COLLECT_FERTILIZER""]"	"[[""CARE""], [""WEST""], [""CARE""], [""FERTILIZE""], [""HARVEST""], [""PLANT"", ""WHEAT""], [""EAST""], [""PLANT"", ""WHEAT""], [""WATER""], [""EAST""], [""COLLECT_FERTILIZER""]]"	"[[""SELL"", ""WOOL"", 1]]"
437	18	5	DSM	"[""COLLECT_FERTILIZER""]"	"[[""COLLECT_FERTILIZER""], [""CARE""], [""CARE""], [""FERTILIZE""], [""HARVEST""], [""WATER""], [""EAST""], [""PLANT"", ""WHEAT""], [""HARVEST""], [""HARVEST""], [""COLLECT_FERTILIZER""]]"	"[[""SELL"", ""WOOL"", 1]]"
438	18	6	Majkel1337	"[""NORTH""]"	"[[""COLLECT_FERTILIZER""], [""FEED""], [""EAST""], [""WATER""], [""NORTH""], [""WATER""], [""WATER""], [""WATER""], [""SOUTH""], [""NORTH""], [""HARVEST""]]"	[]
438	18	6	DSM	"[""SOUTH""]"	"[[""EAST""], [""COLLECT_FERTILIZER""], [""EAST""], [""WATER""], [""NORTH""], [""WEST""], [""WATER""], [""WATER""], [""PLANT"", ""CARROT""], [""NORTH""], [""HARVEST""]]"	[]
439	18	7	Majkel1337	"[""NORTH""]"	"[[""NORTH""], [""CARE""], [""FEED""], [""WEST""], [""HARVEST""], [""SOUTH""], [""NORTH""], [""NORTH""], [""WATER""], [""HARVEST""], [""NORTH""]]"	[]
439	18	7	DSM	"[""SOUTH""]"	"[[""COLLECT_FERTILIZER""], [""WEST""], [""FEED""], [""WEST""], [""HARVEST""], [""WATER""], [""NORTH""], [""NORTH""], [""WATER""], [""NORTH""], [""NORTH""]]"	[]
440	18	8	Majkel1337	"[""WEST""]"	"[[""FEED""], [""COLLECT_FERTILIZER""], [""CARE""], [""WATER""], [""SOUTH""], [""WATER""], [""WATER""], [""WATER""], [""HARVEST""], [""NORTH""], [""NORTH""]]"	[]
440	18	8	DSM	"[""SOUTH""]"	"[[""HARVEST""], [""FEED""], [""CARE""], [""WATER""], [""SOUTH""], [""SOUTH""], [""WATER""], [""WATER""], [""SOUTH""], [""EAST""], [""NORTH""]]"	[]
441	18	9	Majkel1337	"[""FERTILIZE""]"	"[[""CARE""], [""SOUTH""], [""COLLECT_FERTILIZER""], [""NORTH""], [""SOUTH""], [""HARVEST""], [""NORTH""], [""WEST""], [""PLANT"", ""TOMATO""], [""HARVEST""], [""WATER""]]"	"[[""SELL"", ""STRAWBERRY"", 2], [""SELL"", ""WOOL"", 3]]"
441	18	9	DSM	"[""SOUTH""]"	"[[""NORTH""], [""CARE""], [""COLLECT_FERTILIZER""], [""NORTH""], [""SOUTH""], [""WATER""], [""NORTH""], [""WEST""], [""WEST""], [""NORTH""], [""WATER""]]"	"[[""SELL"", ""WOOL"", 1]]"
442	18	10	Majkel1337	"[""WATER""]"	"[[""COLLECT_FERTILIZER""], [""FERTILIZE""], [""HARVEST""], [""HARVEST""], [""SOUTH""], [""PLANT"", ""TOMATO""], [""WATER""], [""WATER""], [""WATER""], [""WEST""], [""EAST""]]"	"[[""SELL"", ""WHEAT"", 6], [""BUY_SEED"", ""WHEAT"", 1]]"
442	18	10	DSM	"[""FERTILIZE""]"	"[[""NORTH""], [""COLLECT_FERTILIZER""], [""HARVEST""], [""WATER""], [""SOUTH""], [""HARVEST""], [""WATER""], [""WATER""], [""WATER""], [""HARVEST""], [""EAST""]]"	[]
443	18	11	Majkel1337	"[""NORTH""]"	"[[""EAST""], [""WATER""], [""EAST""], [""WATER""], [""SOUTH""], [""WATER""], [""NORTH""], [""NORTH""], [""WEST""], [""HARVEST""], [""WATER""]]"	"[[""BUY_SEED"", ""TOMATO"", 1]]"
443	18	11	DSM	"[""WATER""]"	"[[""HARVEST""], [""SOUTH""], [""EAST""], [""NORTH""], [""SOUTH""], [""PLANT"", ""WHEAT""], [""NORTH""], [""NORTH""], [""SOUTH""], [""WEST""], [""WATER""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
444	18	12	Majkel1337	"[""HARVEST""]"	"[[""FEED""], [""SOUTH""], [""FEED""], [""NORTH""], [""DROP""], [""WEST""], [""WATER""], [""WATER""], [""WATER""], [""SOUTH""], [""EAST""]]"	[]
